player_name,team_title,minutesPlayed,goals,assists,totalShots,shotsOnTarget,keyPasses,successfulDribbles,expectedGoals,expectedAssists
"Ayase Ueda","Feyenoord","2533","25","1","102","46","21","6","18.93","1.67"
"Troy Parrott","AZ Alkmaar","2206","16","4","88","43","25","14","17.45","3.33"
"Thom van Bergen","FC Groningen","2977","9","4","102","37","29","28","17.17","3.07"
"Ismael Saibari","PSV Eindhoven","2145","15","8","91","37","53","48","12.95","7.41"
"Bryan Linssen","NEC Nijmegen","2251","11","7","70","32","40","6","11.95","4.03"
"Sven Mijnans","AZ Alkmaar","2350","11","6","84","36","54","17","11.73","8.2"
"Ricardo Pepi","PSV Eindhoven","1433","16","1","61","32","16","15","11.41","2.22"
"Koen Kostons","PEC Zwolle","2887","11","6","61","28","21","10","11.1","3.8"
"Mika Godts","AFC Ajax","2686","17","12","80","39","78","85","10.93","9.27"
"Tobias Lauritsen","Sparta Rotterdam","3042","12","5","73","27","49","9","10.82","3.47"
"Mathis Suray","Go Ahead Eagles","2602","12","2","63","31","19","18","10.67","1.93"
"Dylan Vente","SC Heerenveen","2126","7","2","66","26","23","3","10.57","1.71"
"Kristian Hlynsson","FC Twente","2569","10","4","88","36","37","15","10.29","3.98"
"Sam Lammers","FC Twente","1556","6","7","55","25","29","11","9.93","2.98"
"Guus Til","PSV Eindhoven","2248","14","4","61","27","43","3","9.84","4.83"
"Tjaronn Chery","NEC Nijmegen","2755","10","6","107","45","60","21","9.76","6.04"
"Kaj Sierhuis","Fortuna Sittard","1997","12","1","78","31","25","16","9.42","1.49"
"Ricky van Wolfswinkel","FC Twente","1740","8","0","43","20","22","8","9.42","1.3"
"Jacob Trenskow","SC Heerenveen","2678","12","5","84","37","68","23","8.91","8.58"
"Noah Naujoks","Excelsior","2334","10","1","64","24","30","18","8.78","1.59"
"Patrick Brouwer","SC Telstar","2298","7","6","51","22","35","16","8.48","5.54"
"Jizz Hornkamp","AZ Alkmaar","1351","10","1","43","24","17","9","8.25","1.87"
"Milan Zonneveld","Sparta Rotterdam","1092","6","2","42","20","10","2","8.12","0.62"
"Sem Steijn","Feyenoord","1106","7","2","38","17","32","3","7.82","3.72"
"Thomas Van den Belt","FC Twente","2191","5","1","56","18","33","10","7.77","2.68"
