player_name,team_title,position,time,games,goals,assists,shots,key_passes,xG,xA,npg,npxG
"Oladapo Afolayan","St. Pauli","M S","135","7","0","0","4","2","0.526158856227994","0.08374877460300922","0","0.526158856227994"
"Filippo Mané","Borussia Dortmund","D S","142","4","0","0","0","0","0","0","0","0"
"Almugera Kabar","Borussia Dortmund","S","14","1","0","0","1","0","0.04891660809516907","0","0","0.04891660809516907"
"Cole Campbell","Borussia Dortmund,Hoffenheim","S","64","6","0","0","2","3","0.18991899117827415","0.2815333306789398","0","0.18991899117827415"
"Jahmai Simpson-Pusey","FC Cologne","D S","863","11","0","0","6","2","0.305854395031929","0.09932500869035721","0","0.305854395031929"
"Axel Tape","Bayer Leverkusen","D S","214","6","0","0","3","0","0.1425793543457985","0","0","0.1425793543457985"
"Jonah Kusi-Asare","Bayern Munich","S","1","1","0","0","0","0","0","0","0","0"
"Carl Klaus","Union Berlin","GK S","330","4","0","0","0","0","0","0","0","0"
"Luka Djuric","Hoffenheim","S","5","1","0","0","0","0","0","0","0","0"
"Wisdom Mike","Bayern Munich","S","18","4","0","0","2","0","0.10484713315963745","0","0","0.10484713315963745"
"Mick Schmetgens","Werder Bremen","S","34","2","0","0","0","0","0","0","0","0"
"Luca Jaquez","VfB Stuttgart","D S","893","14","0","1","4","5","0.15299018938094378","0.4413405451923609","0","0.15299018938094378"
"Finn Jeltsch","VfB Stuttgart","D S","1501","23","0","1","3","5","0.19509844854474068","0.10187679901719093","0","0.19509844854474068"
"Alejo Sarco","Bayer Leverkusen,Borussia M.Gladbach","S","107","6","0","0","4","2","0.4211624972522259","0.25054374895989895","0","0.4211624972522259"
"Charles Herrmann","Borussia M.Gladbach","S","1","1","0","1","0","1","0","0.37863999605178833","0","0"
"Jan Bürger","Wolfsburg","D S","247","7","0","0","2","2","0.06012657471001148","0.1284901462495327","0","0.06012657471001148"
"Claudio Echeverri","Bayer Leverkusen","M S","112","6","0","0","1","1","0.11350106447935104","0.04052872955799103","0","0.11350106447935104"
"Jenson Seelt","Wolfsburg","D S","681","9","0","0","2","0","0.10756358131766319","0","0","0.10756358131766319"
"Ezechiel Banzuzi","RasenBallsport Leipzig","M S","521","24","0","1","15","7","1.248297218233347","0.353797547519207","0","1.248297218233347"
