player_name,team_title,minutesPlayed,goals,assists,totalShots,shotsOnTarget,keyPasses,successfulDribbles,expectedGoals,expectedAssists
"Julián Quiñones","Al-Qadsiah","2724","33","4","136","59","23","19","27.36","4.96"
"Cristiano Ronaldo","Al-Nassr","2610","28","2","161","60","26","14","26.57","2.46"
"Ivan Toney","Al-Ahli","2749","32","7","93","49","25","6","26.35","4.86"
"Roger Martínez","Al-Taawoun","2724","23","2","106","43","31","44","19.81","3.27"
"Mateo Retegui","Al-Qadsiah","2346","16","1","88","38","24","11","16.3","2.2"
"Karim Benzema","Al-Hilal","1916","17","2","73","47","28","12","16.29","4.03"
"Yannick Carrasco","Al-Shabab","2508","18","8","103","51","76","74","16.23","8.74"
"João Félix","Al-Nassr","2908","20","13","116","51","96","50","14.89","11.4"
"Joshua King","Al-Khaleej","2309","20","2","63","35","25","20","14.21","2.87"
"Georginio Wijnaldum","Al-Ettifaq","2900","16","6","77","41","24","27","14.11","3.12"
"Ramiro Enrique","Al-Kholood","2209","15","0","72","30","18","23","12.38","0.69"
"Mourad Batna","Al-Fateh","2383","9","8","89","39","73","60","11.97","8.94"
"Marcos Leonardo","Al-Hilal","1591","13","1","53","30","12","10","11.88","2.24"
"Darwin Núñez","Al-Hilal","1251","6","4","43","23","14","15","11.48","2.32"
"Kingsley Coman","Al-Nassr","2561","10","11","82","31","61","44","11.21","7.95"
"Sadio Mané","Al-Nassr","2132","10","6","61","30","52","51","11.1","5.58"
"Sofiane Bendebka","Al-Fateh","2236","9","1","50","23","20","11","10.57","1.64"
"Giorgos Masouras","Al-Khaleej","2795","13","3","69","32","35","24","10.09","3.79"
"Sergej Milinković-Savić","Al-Hilal","2859","8","7","95","36","57","28","9.97","8.51"
"Kostas Fortounis","Al-Khaleej","2547","10","12","63","22","100","48","9.88","10.81"
"Alexandre Lacazette","Neom SC","2679","11","4","51","26","44","10","9.88","3.68"
"Tozé","Al-Riyadh","2930","9","5","72","26","71","16","9.84","6.83"
"Omar Al Soma","Al-Hazem","1653","7","0","83","30","17","19","9.77","0.87"
"Abderazak Hamdallah","Al-Shabab","1210","6","2","51","15","19","19","9.52","2.23"
"Saïd Benrahma","Neom SC","2037","10","7","89","32","64","41","8.59","7.04"
"Rúben Neves","Al-Hilal","2749","11","6","50","18","63","11","8.4","8.05"
"Mamadou Sylla","Al-Riyadh","2056","10","1","61","29","21","6","8.34","1.4"
"Moussa Dembélé","Al-Ettifaq","1737","9","2","46","23","11","14","7.96","1.36"
"Lázaro","Al-Najma SC","2018","7","1","48","18","24","25","7.23","1.52"
"Salem Al-Dawsari","Al-Hilal","1894","8","8","54","20","39","27","7.05","6.34"
"Leandro Antunes","Al-Riyadh","1252","7","0","67","28","19","8","7.02","1.28"
"Luciano Rodríguez","Neom SC","2337","6","1","65","27","22","19","6.96","2.07"
"Fashion Sakala","Al-Fayha","2544","13","5","71","31","44","61","6.6","5.04"
"Jason","Al-Fayha","2736","5","7","70","17","39","25","6.49","4.19"
"Valentín Vada","Damac FC","2923","11","6","57","18","62","16","6.43","3.68"
"Houssem Aouar","Al-Ittihad","1902","8","3","48","18","18","31","6.29","2.42"
"Fábio Martins","Al-Hazem","2348","5","4","68","22","19","27","6.08","1.79"
"Silvère Ganvoula","Al-Fayha","1215","4","0","35","10","14","15","5.99","0.33"
"Moussa Diaby","Al-Ittihad","2436","4","7","53","22","61","46","5.98","6.43"
"Malcom","Al-Hilal","2781","7","10","55","26","76","17","5.94","9.42"
"Khalid Al-Ghannam","Al-Ettifaq","2186","13","6","42","28","42","52","5.82","5.52"
"Musab Al Juwayr","Al-Qadsiah","2537","6","11","48","17","86","17","5.71","10.03"
"Yousef Al-Shammari","Al-Hazem","1055","5","0","27","15","8","1","5.62","0.45"
"Matías Vargas","Al-Fateh","2402","8","4","59","23","49","26","5.61","6.67"
"Francisco Calvo","Al-Ettifaq","2671","4","1","41","20","10","14","5.58","2.07"
"Steven Bergwijn","Al-Ittihad","1785","5","3","41","15","28","25","5.48","4.56"
"Franck Kessié","Al-Ahli","2173","5","3","33","19","19","12","4.97","2.76"
"Paolo Fernandes","Al-Khaleej","1772","4","2","49","21","15","41","4.82","2.73"
"Fahad Zubaidi","Al-Fateh","1577","3","3","31","10","12","6","4.73","1.69"
"Youssef En-Nesyri","Al-Ittihad","1039","6","0","21","13","8","8","4.58","0.34"
"Nathan Zeze","Neom SC","2790","2","1","27","5","12","0","4.29","0.83"
"Mohammed Abu Al-Shamat","Al-Qadsiah","2494","2","8","46","12","42","41","4.11","8.35"
"Valentin Atangana Edoa","Al-Ahli","1892","5","0","17","6","13","1","4.11","0.46"
"Wesley Delgado","Al-Fateh","1548","2","3","23","8","16","20","4.09","1.54"
"Angelo Fulgini","Al-Taawoun","2435","5","9","39","18","56","28","4.05","5.53"
"Nahitan Nández","Al-Qadsiah","2910","8","10","37","13","54","43","4.01","8.13"
"Khaled Narey","Al-Okhdood","1731","4","3","38","21","17","14","3.92","1.41"
"Hattan Bahebri","Al-Kholood","2245","5","5","33","13","29","29","3.9","3.24"
"Christian Bassogog","Al-Okhdood","2241","4","6","32","12","39","45","3.88","3.5"
"Enzo Millot","Al-Ahli","1945","3","3","33","10","33","14","3.84","3.56"
"Christopher Baah","Al-Qadsiah","2679","3","12","30","11","57","66","3.8","9.61"
"Muhannad Shanqeeti","Al-Ittihad","2266","3","6","31","13","27","19","3.7","3.84"
"Yakou Méïté","Damac FC","1416","5","0","42","12","6","16","3.64","0.66"
"Riyad Mahrez","Al-Ahli","2311","4","8","38","10","79","26","3.61","8.74"
"Ali Jasim","Al-Najma SC","1629","4","1","43","18","19","46","3.56","1.94"
"Carlos Junior","Al-Shabab","1095","4","0","24","9","6","8","3.54","0.49"
"Nawaf Al-Habashi","Al-Hazem","1828","4","2","37","16","20","54","3.53","2.14"
"Matheus Gonçalves","Al-Ahli","1430","2","2","33","15","29","38","3.46","3.26"
"Saleh Al-Shehri","Al-Ittihad","455","3","2","20","6","8","6","3.43","1.18"
"Danilo Pereira","Al-Ittihad","2790","2","1","40","13","11","11","3.36","1.22"
"Josh Brownhill","Al-Shabab","2453","5","2","35","13","32","9","3.3","3.03"
"Teddy Okou","Al-Riyadh","2444","1","8","50","17","44","60","3.24","4.34"
"Amir Saâyoud","Al-Hazem","1074","3","3","25","8","24","52","3.23","4.28"
"Iker Kortajarena","Al-Kholood","1346","1","0","21","8","11","14","3.2","1.21"
"Myziane Maolida","Al-Kholood","895","3","3","23","10","16","22","3.17","1.54"
"Alfa Semedo","Al-Fayha","2626","4","2","41","7","17","38","3.16","1.43"
"Abdullah Al-Salem","Al-Qadsiah","637","4","0","21","8","5","2","3.12","0.48"
"Karl Toko Ekambi","Al-Fateh","453","0","0","18","8","3","1","3.06","0.39"
"Sultan Mandash","Al-Hilal","1346","6","5","22","14","25","22","3.05","3.05"
"Yoann Barbet","Al-Riyadh","2805","2","1","37","8","15","14","2.98","1.6"
"Firas Al-Buraikan","Al-Ahli","1763","5","1","19","9","15","5","2.97","2.21"
"Theo Hernández","Al-Hilal","2743","5","1","52","16","26","22","2.97","3.39"
"Felippe Cardoso","Al-Najma SC","1228","4","4","28","11","13","15","2.89","0.92"
"Youssouf Oumarou","Al-Hazem","611","1","0","18","8","2","4","2.84","0.28"
"Abdulaziz Al-Dwehe","Al-Hazem","790","4","1","13","8","8","7","2.83","1.06"
"Marin Petkov","Al-Taawoun","1154","2","2","39","13","24","15","2.79","1.71"
"Yassine Benzia","Al-Fayha","2735","4","5","39","16","47","18","2.76","4.41"
"Mohammed Al-Kuwaykibi","Al-Taawoun","1493","4","7","31","8","30","14","2.73","4.85"
"Dimitris Kourbelis","Al-Khaleej","2321","1","1","27","5","11","13","2.72","2.08"
"Abdulaziz Al-Aliwa","Al-Kholood","2397","4","2","33","14","31","47","2.7","3.72"
"Bilal Boutobba","Al-Najma SC","2066","3","1","48","18","16","38","2.67","1.44"
"Roger Ibañez","Al-Ahli","2426","2","2","31","11","11","22","2.65","1.33"
"Blaž Kramer","Al-Okhdood","995","1","0","15","5","2","8","2.61","0.12"
"Abdullah Al-Hamdan","Al-Nassr","378","3","1","15","4","6","4","2.61","1.13"
"Amadou Koné","Neom SC","2804","2","1","36","12","14","18","2.6","1.01"
"Ahmed Abdu","Neom SC","432","1","0","13","3","1","1","2.56","0.08"
"Wenderson Galeno","Al-Ahli","1821","1","7","41","15","26","16","2.51","6.47"
"Morlaye Sylla","Damac FC","2855","2","1","37","9","27","28","2.5","1.32"
"Mohamed Simakan","Al-Nassr","2495","3","0","25","11","7","5","2.46","0.77"
"Ali Al Azaizah","Al-Shabab","638","2","1","12","4","8","17","2.38","0.99"
"Ahmed Al-Ghamdi","Al-Ittihad","679","3","1","13","6","17","14","2.37","2.79"
"Mohammed Al Dossari","Al-Taawoun","1800","2","0","6","3","5","8","2.31","0.66"
"Mohau Nkota","Al-Ettifaq","1442","2","2","17","5","19","10","2.3","2.19"
"Tokmac Chol Nguen","Al-Okhdood","697","1","0","12","5","4","5","2.23","0.65"
"Saleh Abu Al-Shamat","Al-Ahli","794","1","3","21","9","20","21","2.2","3.16"
"Mohamed Kanno","Al-Hilal","2090","5","3","31","20","21","7","2.18","2.98"
"Muhammad Sawan","Al-Kholood","1893","2","3","17","6","19","29","2.16","2.55"
