player_name,team_title,position,time,games,goals,assists,shots,key_passes,xG,xA,npg,npxG
"Mohamed Azzi","Dynamo Makhachkala","D M S","2007","25","1","1","19","19","1.762439169920981","2.970534475520253","1","1.762439169920981"
"Sergey Varatynov","Baltika","D","2700","30","1","0","23","4","1.8942158743739128","0.12540810368955135","1","1.8942158743739128"
"Ilya Petrov","Baltika","M S","1957","27","1","3","35","31","2.1199394538998604","3.0185997262597084","1","1.3656641375273466"
"Eldar Civic","Baltika","D S","677","18","1","2","11","13","0.29576306603848934","1.391920859925449","1","0.29576306603848934"
"Manuel Keliano","FK Akhmat","M S","1413","23","1","1","21","7","1.2096833009272814","0.8081201259046793","1","1.2096833009272814"
"Nikita Bazilevskiy","Akron","M S","153","7","1","0","6","3","0.9310227520763874","0.08046331070363522","0","0.17674742825329304"
"Nikita Lobov","Rubin Kazan","D S","758","12","1","0","4","3","0.29503550799563527","0.08687982615083456","1","0.29503550799563527"
"Renaldo Cephas","Nizhny Novgorod","F S","1107","25","1","2","23","7","1.806412048637867","1.6222243821248412","1","1.806412048637867"
"Fahd Moufi","FC Orenburg","D M","2098","24","1","0","23","29","1.5555926226079464","2.7505115140229464","1","1.5555926226079464"
"Mehdi El Moubarik","Dynamo Makhachkala","F M","1601","20","1","0","11","12","0.6058518378995359","0.2722929250448942","1","0.6058518378995359"
"Anderson Arroyo","Rubin Kazan","D M S","1810","22","1","1","11","9","1.067382705397904","1.5436437763273716","1","1.067382705397904"
"Emil Tsenov","FC Orenburg","D M S","484","7","1","0","2","3","0.6201942563056946","0.05539093352854252","1","0.6201942563056946"
"Miro","Dynamo Makhachkala","F S","895","20","1","0","20","7","2.176686428487301","0.2818698324263096","1","2.176686428487301"
"Henrique Carmo","CSKA Moscow","M S","691","19","1","1","21","7","1.0289615346118808","0.8254845514893532","1","1.0289615346118808"
"Kevin Arévalo","Akron","F S","215","6","1","0","5","3","0.5365022695623338","0.14738140255212784","1","0.5365022695623338"
"Nazmi Gripshi","Rubin Kazan","F M S","760","11","1","3","9","16","0.8758557327091694","1.0932496879249811","1","0.8758557327091694"
"Klisman Cake","FK Akhmat","D","1075","12","1","0","4","1","0.39540469367057085","0.06325928866863251","1","0.39540469367057085"
"Galymzhan Kenzhebek","FK Akhmat","F S","169","7","1","0","8","2","0.4512461982667446","0.04321329668164253","1","0.4512461982667446"
"Imran Firov","CSKA Moscow","S","30","1","1","1","2","2","0.15587233006954193","0.42799845337867737","1","0.15587233006954193"
"Theo Bongonda","Spartak Moscow","S","36","4","0","0","0","1","0","0.026108447462320328","0","0"
"Rifat Zhemaletdinov","FK Akhmat","M S","300","13","0","0","6","4","0.2968681566417217","0.27972588688135147","0","0.2968681566417217"
"Georgi Zotov","FC Orenburg","D M","498","6","0","0","3","4","0.05321991443634033","0.20064458716660738","0","0.05321991443634033"
"Evgeni Frolov","Krylya Sovetov Samara","S","12","1","0","0","0","0","0","0","0","0"
"Igor Leshchuk","Dinamo Moscow","GK","540","6","0","0","0","0","0","0","0","0"
"Maksim Kuzmin","Akron","F M S","974","23","0","1","6","15","0.3171662427484989","1.1722920630127192","0","0.3171662427484989"
"Nikita Medvedev","Nizhny Novgorod","GK","2610","29","0","0","0","1","0","0.07659044116735458","0","0"
"Sergey Pesjakov","Krylya Sovetov Samara","GK","2778","31","0","0","0","0","0","0","0","0"
"Alexandr Zotov","Rubin Kazan","S","52","5","0","0","1","0","0.09438234567642212","0","0","0.09438234567642212"
"Rizvan Utsiev","FK Akhmat","S","1","1","0","0","0","0","0","0","0","0"
"Daler Kuzyaev","Rubin Kazan","M S","998","16","0","0","9","5","0.47326782159507275","0.22543282248079777","0","0.47326782159507275"
"Oleg Ivanov","Rubin Kazan","S","112","18","0","0","1","3","0.01652458868920803","0.1192261092364788","0","0.01652458868920803"
"Igor Akinfeev","CSKA Moscow","GK","1687","19","0","0","0","1","0","0.026291534304618835","0","0"
"Giorgi Shelia","FK Akhmat","GK","1530","17","0","1","0","2","0","0.2558493986725807","0","0"
"Sergei Petrov","FC Krasnodar","D","1208","15","0","1","6","11","0.17796481866389513","1.3514283709228039","0","0.17796481866389513"
"Vitaly Gudiev","Akron","GK","2250","25","0","0","0","0","0","0","0","0"
"Artem Timofeev","Lokomotiv Moscow","S","2","1","0","0","0","0","0","0","0","0"
"Maksim Rudakov","FC Orenburg,PFC Sochi","GK","180","2","0","0","0","0","0","0","0","0"
"Aleksandr Maksimenko","Spartak Moscow","GK","2700","30","0","0","0","2","0","0.3137598130851984","0","0"
"Anton Mitryushkin","Lokomotiv Moscow","GK","2610","29","0","0","0","0","0","0","0","0"
"Alexey Tataev","FC Orenburg","D M S","611","11","0","0","7","4","0.607826879248023","0.09210428781807423","0","0.607826879248023"
"Andrey Lunev","Dinamo Moscow","GK","1260","14","0","0","0","0","0","0","0","0"
"Serder Serderov","Dynamo Makhachkala","F S","383","13","0","1","6","6","0.6342778671532869","0.30995865911245346","0","0.6342778671532869"
"Alexander Vasyutin","Akron","GK","180","2","0","0","0","0","0","0","0","0"
"Khoren Bayramyan","FC Rostov","S","92","8","0","0","0","2","0","0.2925038766115904","0","0"
"Ilya Lantratov","Lokomotiv Moscow","GK","90","1","0","0","0","0","0","0","0","0"
"Alexander Djiku","Spartak Moscow","D","1726","20","0","0","7","4","0.35420049261301756","0.16999123618006706","0","0.35420049261301756"
"Anton Shvets","Rubin Kazan","S","36","1","0","1","0","1","0","0.518865168094635","0","0"
"Denis Adamov","Zenit St. Petersburg","GK","2340","26","0","0","0","1","0","0.026371553540229797","0","0"
"Khetag Khosonov","Akron","D M S","1458","23","0","1","7","6","0.28540273755788803","0.7744167670607567","0","0.28540273755788803"
"Cristian Ramírez","Lokomotiv Moscow","S","188","8","0","0","0","3","0","0.1722058579325676","0","0"
"Aleksandr Lomakin","FC Orenburg","S","13","1","0","0","0","0","0","0","0","0"
"Evgeny Latyshonok","Zenit St. Petersburg","GK","360","4","0","0","0","0","0","0","0","0"
"Dmitrii Skopintcev","Dinamo Moscow","D M S","1454","25","0","3","17","18","0.7717138770967722","2.7312482949346304","0","0.7717138770967722"
"Vyacheslav Karavayev","Zenit St. Petersburg","D","169","2","0","1","0","3","0","0.6779322549700737","0","0"
"Konstantin Savichev","Akron","D","673","8","0","0","4","2","0.09292369242757559","0.06789923273026943","0","0.09292369242757559"
"Anton Zabolotny","Spartak Moscow","F S","147","9","0","0","3","1","0.09729707799851894","0.10091608017683029","0","0.09729707799851894"
"Nikolay Kalinskiy","Nizhny Novgorod","D M S","411","9","0","0","5","13","0.2462709005922079","0.8843489782884717","0","0.2462709005922079"
"Aleksey Gritsaenko","Rubin Kazan","D S","978","13","0","0","2","1","0.23944267630577087","0.07172476500272751","0","0.23944267630577087"
"Arsen Adamov","Zenit St. Petersburg","S","49","3","0","0","1","0","0.01126717310398817","0","0","0.01126717310398817"
"Ivan Ignatyev","FC Orenburg","F S","115","5","0","0","1","2","0.7542753219604492","0.12703124061226845","0","0"
"Danil Glebov","Dinamo Moscow","D M S","1542","21","0","1","7","11","0.4052714193239808","0.9914329070597887","0","0.4052714193239808"
"Nikita Kakkoev","Nizhny Novgorod","D S","1162","17","0","1","3","8","0.08512471616268158","0.24159632250666618","0","0.08512471616268158"
"Yuri Dyupin","PFC Sochi","GK","900","10","0","0","0","0","0","0","0","0"
"Amir Mokhammad","Baltika","S","19","1","0","0","0","1","0","0.012457109987735748","0","0"
"Aleksey Sutormin","Krylya Sovetov Samara","D F S","700","17","0","0","6","10","0.35201486200094223","0.38416880927979946","0","0.35201486200094223"
"Daniil Khlusevich","FK Akhmat,Spartak Moscow","D S","472","11","0","0","2","0","0.16854210197925568","0","0","0.16854210197925568"
"Roman Evgeniev","Krylya Sovetov Samara","D S","733","9","0","0","2","0","0.05994022823870182","0","0","0.05994022823870182"
"Daniil Utkin","Baltika","S","1","1","0","0","0","0","0","0","0","0"
"Wilmar Barrios","Zenit St. Petersburg","M S","2567","30","0","1","4","9","0.0843602167442441","0.5504600144922733","0","0.0843602167442441"
"Dmitri Rybchinsky","FC Orenburg","F M S","1184","19","0","1","16","24","0.9560079853981733","2.510958503931761","0","0.9560079853981733"
"Bogdan Ovsyannikov","FC Orenburg","GK","2610","29","0","0","1","0","0.4348011612892151","0","0","0.4348011612892151"
"Baktiyor Zainutdinov","Dinamo Moscow","D M S","529","8","0","0","10","0","0.4269614666700363","0","0","0.4269614666700363"
"Nail Umiarov","Spartak Moscow","M","2601","29","0","3","19","20","0.5069035636261106","2.0762003902345896","0","0.5069035636261106"
"Ilya Agapov","Akron","S","42","1","0","0","0","0","0","0","0","0"
"Konstantin Maradishvili","Akron","M S","684","13","0","0","17","7","0.6903454028069973","0.4415074624121189","0","0.6903454028069973"
"Dmitriy Chistyakov","FC Rostov","D S","1873","22","0","0","8","2","0.6149819158017635","0.07243253290653229","0","0.6149819158017635"
"David Volk","Dynamo Makhachkala","GK","1350","15","0","0","0","0","0","0","0","0"
"Soltmurad Bakaev","Akron","F S","581","13","0","0","13","6","0.6531573981046677","0.5378676280379295","0","0.6531573981046677"
"Danila Prokhin","FC Rostov","D M S","735","15","0","0","7","7","0.11243162211030722","0.22934869304299355","0","0.11243162211030722"
"Vladislav Torop","CSKA Moscow","GK S","1013","12","0","0","0","1","0","0.041456349194049835","0","0"
"Bogdan Jocic","Rubin Kazan","F M S","1097","20","0","2","12","9","1.093171663582325","0.6571289962157607","0","1.093171663582325"
"Aymane Mourid","Baltika","M S","349","13","0","1","5","5","0.4072821792215109","1.3884622259065509","0","0.4072821792215109"
"Maksim Nenakhov","Lokomotiv Moscow","D S","1238","21","0","1","7","7","0.20274188835173845","0.7138244835659862","0","0.20274188835173845"
"Miroslav Bogosavac","FK Akhmat","D","2663","30","0","0","8","20","0.5226247701793909","0.8827860066667199","0","0.5226247701793909"
"Vadim Lukyanov","Nizhny Novgorod","GK","90","1","0","0","1","0","0.03900406137108803","0","0","0.03900406137108803"
"Ilya Samoshnikov","Lokomotiv Moscow,Spartak Moscow","M S","74","3","0","0","0","0","0","0","0","0"
"Kirill Zaika","PFC Sochi","D M S","1608","26","0","0","6","6","0.24797106441110373","0.6392779909074306","0","0.24797106441110373"
"Yuri Kovalev","Baltika","D F M S","468","17","0","0","5","1","0.500121496617794","0.08058872073888779","0","0.500121496617794"
"Pavel Gorelov","FC Orenburg","S","73","3","0","0","0","1","0","0.021990913897752762","0","0"
"Vladislav Karapuzov","Nizhny Novgorod","M","113","2","0","0","0","1","0","0.02499658614397049","0","0"
"Stanislav Agkatsev","FC Krasnodar","GK","2700","30","0","0","0","0","0","0","0","0"
"Daniil Odoevskiy","FC Rostov","S","21","1","0","0","0","0","0","0","0","0"
"Adolfo Gaich","Krylya Sovetov Samara","S","56","3","0","0","2","0","0.11449667438864708","0","0","0.11449667438864708"
"Stepan Oganesyan","FC Orenburg","D F M S","644","12","0","1","7","3","1.0502056330442429","0.16551981680095196","0","1.0502056330442429"
"Vyacheslav Litvinov","PFC Sochi","D S","1301","15","0","0","5","5","0.3153412723913789","0.13336251489818096","0","0.3153412723913789"
"Aleksandr Kutitskiy","Dinamo Moscow","D M S","436","12","0","0","4","1","0.1796120647341013","0.01347343809902668","0","0.1796120647341013"
"Andrey Langovich","FC Rostov","D M S","625","15","0","0","8","2","0.3695240896195173","0.04844389948993921","0","0.3695240896195173"
"Tigran Avanesyan","FC Orenburg","M","306","4","0","0","7","0","0.174838125705719","0","0","0.174838125705719"
"Ivan Kukushkin","Baltika","GK","360","4","0","0","0","0","0","0","0","0"
"Danila Khotulev","FC Orenburg","D S","1983","24","0","1","14","9","0.760932169854641","0.4484191443771124","0","0.760932169854641"
"Ivan Lomaev","PFC Sochi","GK","90","1","0","0","0","0","0","0","0","0"
"Dmytro Ivanisenya","Krylya Sovetov Samara","M S","115","3","0","0","0","1","0","0.018868112936615944","0","0"
"Vladislav Sarveli","Lokomotiv Moscow","S","144","7","0","0","4","1","0.3753931373357773","0.03959028422832489","0","0.3753931373357773"
"Roman Ezhov","PFC Sochi","F M S","906","18","0","1","1","11","0.05725565180182457","0.7226945832371712","0","0.05725565180182457"
"Kirill Zinovich","Dynamo Makhachkala","M S","162","11","0","0","4","2","0.43724286928772926","0.06002030149102211","0","0.43724286928772926"
"Ricardo Mangas","Spartak Moscow","D","180","2","0","0","0","3","0","0.16191277001053095","0","0"
"Turpal-Ali Ibishev","FK Akhmat","D M S","1306","22","0","0","5","2","0.2431832905858755","0.122523233294487","0","0.2431832905858755"
"Darko Todorovic","FK Akhmat","D S","383","6","0","0","2","6","0.035161273553967476","0.32954919431358576","0","0.035161273553967476"
"Irakli Manelov","Baltika","D F S","537","16","0","0","13","5","0.37369644828140736","0.2301993314176798","0","0.37369644828140736"
"Sergey Volkov","PFC Sochi","D M S","1416","20","0","1","9","4","0.5297298654913902","0.2461487539112568","0","0.5297298654913902"
"Danil Denisov","Spartak Moscow","D M S","2207","29","0","0","14","20","0.9602239327505231","1.4993580989539623","0","0.9602239327505231"
