player_name,team_title,minutesPlayed,goals,assists,totalShots,shotsOnTarget,keyPasses,successfulDribbles,expectedGoals,expectedAssists
"Akram Afif","Al-Sadd","1935","15","12","57","29","88","21","",""
"Marco Verratti","Al Duhail","887","1","3","9","1","22","13","",""
"Yacine Brahimi","Al-Gharafa","1833","8","11","50","23","58","60","",""
"Róger Guedes","Al-Rayyan","1945","21","3","87","46","17","16","",""
"Rodri Sánchez","Al-Arabi SC","1895","4","8","46","17","50","44","",""
"Landing Badji","Umm-Salal SC","360","0","0","0","0","1","0","",""
"Ahmed Kone","Al-Sailiya","135","0","0","0","0","0","0","",""
"Luis Alberto","Al-Wakrah","1601","8","3","66","22","49","6","",""
"Youcef Atal","Al-Sadd","374","1","1","5","4","4","12","",""
"Oussama Tannane","Umm-Salal SC","1779","9","5","67","25","49","22","",""
"Tuta","Al Duhail","225","2","0","3","2","0","0","",""
"Joao Pedro","Qatar SC","1800","15","3","78","26","24","30","",""
"Claudinho","Al-Sadd","1357","3","7","31","7","35","24","",""
"Francesco Antonucci","Al-Shahaniya","868","4","1","31","10","24","14","",""
"Diogo Amaro","Al-Sailiya","1935","5","2","19","7","20","8","",""
"Roberto Firmino","Al-Sadd","1695","13","4","60","30","38","24","",""
"Lukáš Kalvach","Qatar SC","535","1","1","3","2","4","4","",""
"Julian Draxler","Al-Ahli Doha","1627","7","3","28","18","42","37","",""
"Baghdad Bounedjah","Al Shamal SC","1547","9","4","79","34","35","12","",""
"Alex Collado","Al Shamal SC","1673","6","3","51","21","37","24","",""
"Abdoulaye Traore","Al-Shahaniya","638","4","3","25","13","10","12","",""
"Cristo González","Umm-Salal SC","1481","6","5","32","13","24","18","",""
"Amine Zouhzouh","Al-Wakrah","1713","9","5","60","22","43","25","",""
"Jordan Veretout","Al-Arabi SC","1894","2","4","34","12","27","12","",""
"Julien De Sart","Al-Rayyan","321","1","0","7","2","0","2","",""
"Aissa Laïdouni","Al-Wakrah","1509","1","3","17","4","23","8","",""
"Faïz Selemani","Qatar SC","1589","3","2","46","17","44","19","",""
"Younis Abdelrahman","Al-Ahli Doha","141","2","0","4","3","1","4","",""
"Hamdy Fathy","Al-Wakrah","1492","2","0","29","8","13","9","",""
"Yazan Al-Naimat","Al-Arabi SC","271","3","1","14","5","4","11","",""
"Giovani","Al-Sadd","1272","7","4","46","23","22","21","",""
"Khalid Ali Sabah","Al-Rayyan","1191","7","3","18","11","22","26","",""
"Michel Vlap","Al-Ahli Doha","1812","9","4","43","19","22","14","",""
"Romain Saïss","Al-Sadd","703","0","0","2","1","2","0","",""
"Karim Boudiaf","Al Duhail","750","1","0","9","5","6","2","",""
"Wesley Ribeiro","Al-Rayyan","1006","3","3","31","13","26","15","",""
"Seydou Sano","Al-Gharafa","1335","4","0","11","4","3","2","",""
"Driss Fettouhi","Al-Ahli Doha","1650","3","2","39","10","17","6","",""
"Ibrahima Bamba","Al Duhail","1290","1","0","12","2","6","3","",""
"Pedro Miguel","Al-Sadd","1476","2","3","22","8","6","5","",""
"Edmilson Junior","Al Duhail","1521","5","1","33","12","36","9","",""
"Jeison Murillo","Al Shamal SC","1494","1","1","9","2","4","4","",""
