player_name,team_title,position,time,games,goals,assists,shots,key_passes,xG,xA,npg,npxG
"Kévin Danois","Auxerre","M S","2852","33","3","1","25","52","2.123984556645155","4.617172429338098","3","2.123984556645155"
"Julio Enciso","Strasbourg","F M S","1918","27","3","6","61","26","7.675233259797096","4.41795701906085","2","6.915138140320778"
"Pierre Ganiou","Lens","D S","2018","23","3","0","23","9","2.1561120813712478","0.5016434397548437","3","2.1561120813712478"
"Abner","Lyon","D F M S","2182","26","3","2","17","21","2.2416549902409315","3.11980695836246","3","2.2416549902409315"
"Tom Louchet","Nice","D F M S","1344","27","3","2","21","20","3.120163287036121","3.325116191059351","3","3.120163287036121"
"Simon Adingra","Monaco","D F M S","871","14","3","2","22","14","2.9023742489516735","1.4592509008944035","3","2.9023742489516735"
"Lamine Camara","Monaco","M S","1870","24","3","4","25","35","1.3439804669469595","5.089582786895335","3","1.3439804669469595"
"Ethan Mbappé","Lille","F M S","530","18","3","1","14","15","1.8669115900993347","1.4914258159697056","3","1.8669115900993347"
"Mamadou Coulibaly","Monaco","F M S","1402","25","3","3","13","12","1.987246561795473","1.762764260172844","3","1.987246561795473"
"Ibrahim Mbaye","Paris Saint Germain","F M S","973","24","3","2","24","20","3.4287336245179176","2.3628985602408648","3","3.4287336245179176"
"Ali Abdi","Nice","D M S","1156","22","3","0","16","17","2.4035323709249496","2.0493611991405487","3","2.4035323709249496"
"Mohamed Meïté","Rennes","F S","502","17","3","2","22","5","4.262058779597282","1.3208915255963802","3","4.262058779597282"
"Giorgi Tsitaishvili","Metz","D F M S","2475","33","3","2","31","44","1.5367201650515199","4.272120799869299","3","1.5367201650515199"
"Danny Namaso","Auxerre","F M S","2544","30","3","3","61","32","7.317179087549448","3.9502968033775687","3","7.317179087549448"
"Mamadou Sangaré","Lens","M S","2347","29","3","4","53","37","3.285702032968402","2.838592778891325","3","3.285702032968402"
"Noah Cadiou","Lorient","M S","1851","28","3","1","19","10","2.319805635139346","0.6930346991866827","3","2.319805635139346"
"Amine Sbaï","Angers","F M S","1865","25","3","1","34","27","4.347094478085637","2.760798776522279","3","3.5869993288069963"
"Bryan Okoh","Auxerre","D S","1005","13","3","0","8","3","0.9676289018243551","0.2563950940966606","3","0.9676289018243551"
"Nabil Bentaleb","Lille","M S","1253","26","2","2","18","12","1.2046611299738288","1.771717581897974","1","0.44456598442047834"
"Ciro Immobile","Paris FC","F S","736","12","2","2","15","9","2.3328911624848843","1.9044423550367355","2","2.3328911624848843"
"Benjamin André","Lille","M S","2328","27","2","2","27","23","2.5734788700938225","1.9330890672281384","2","2.5734788700938225"
"Rémy Cabella","Nantes","F M S","561","11","2","0","9","15","2.5323222652077675","1.1330787315964699","1","1.772425815463066"
"Jeremie Boga","Nice","F M S","645","14","2","2","15","13","2.242340716533363","1.6494678808376193","2","2.242340716533363"
"Valentin Rongier","Rennes","M","2750","31","2","5","22","44","0.782729365862906","4.391351553611457","2","0.782729365862906"
"Abdoulaye Touré","Le Havre","M S","740","11","2","0","13","3","1.529643937945366","0.18538137339055538","2","0.769548799842596"
