player_name,team_title,minutesPlayed,goals,assists,totalShots,shotsOnTarget,keyPasses,successfulDribbles,expectedGoals,expectedAssists
"Armando González","CD Guadalajara","1268","12","1","51","27","13","6","11.6","0.97"
"Lucas Di Yorio","Santos Laguna","1208","6","3","46","22","13","12","9.16","0.81"
"João Pedro Galvão","Atlético San Luis","1530","14","1","51","26","15","7","8.47","1.97"
"Paulinho","CD Toluca","1059","6","2","46","17","11","2","7.96","1.83"
"Robert Morales","Pumas UNAM","1940","9","2","50","23","22","7","7.65","3.17"
"Juninho","Pumas UNAM","1371","8","4","36","14","15","14","7.49","1.26"
"Mateo Coronel","Querétaro FC","1377","5","0","38","18","12","9","7.39","1.05"
"Óscar Estupiñán","FC Juárez","1035","6","2","30","12","12","0","6.56","0.52"
"Diber Cambindo","Club León","1248","8","2","40","21","16","18","5.97","1.22"
"Juan Brunetta","Tigres UANL","1395","8","5","57","19","37","13","5.9","3.58"
"Salomón Rondón","CF Pachuca","1282","5","0","49","12","8","11","5.69","0.41"
"Ali Ávila","Querétaro FC","1214","5","1","31","10","17","4","5.61","0.67"
"Gabriel Fernández","Cruz Azul","1090","5","4","40","14","18","11","5.32","0.78"
"José Paradela","Cruz Azul","1613","7","5","50","24","37","26","5.21","3.2"
"Ángel Correa","Tigres UANL","1471","6","8","47","21","37","27","5.13","2.7"
"Uroš Đurđević","CF Monterrey","1182","5","0","36","13","11","4","5.05","0.62"
"Ángel Sepúlveda","CD Guadalajara","768","4","1","24","11","10","4","4.82","1.15"
"Carlos Rotondi","Cruz Azul","1752","4","4","47","20","28","13","4.59","2.85"
"Alex Zendejas","Club América","923","6","4","25","11","20","15","4.4","1.08"
"Kevin Castañeda","Club Tijuana","1395","7","2","44","16","34","10","4.19","2.14"
"Josué Ovalle","Mazatlán FC","826","5","1","15","7","6","15","4.17","0.89"
"Luca Martínez Dupuy","FC Juárez","479","0","1","28","8","3","1","3.98","0.13"
"Ismael Díaz","Club León","1161","5","5","35","14","25","25","3.79","1.01"
"Brian Rodríguez","Club América","1322","6","3","47","16","37","36","3.78","2.92"
"Esteban Lozano","Club Puebla","810","2","0","24","8","4","4","3.69","0.14"
"Arturo González","Atlas FC","1169","7","0","20","9","29","9","3.63","2.78"
"Osinachi Ebere","Cruz Azul","761","4","1","16","7","12","7","3.53","0.59"
"Agustín Palavecino","Cruz Azul","1782","6","3","62","24","41","15","3.48","3.08"
"Ricardo Monreal","Club Necaxa","1172","2","1","28","8","11","25","3.46","1.3"
"Diego González","Atlas FC","1190","1","2","38","13","32","11","3.28","3.67"
"Guillermo Martínez","Pumas UNAM","512","5","0","19","8","5","6","3.27","0.26"
"Bryan González","CD Guadalajara","1848","3","4","44","15","17","18","3.26","2.1"
"Enner Valencia","CF Pachuca","619","4","0","24","10","4","5","3.23","0.49"
"Edgar Guerra","Club Puebla","882","3","1","34","15","7","13","3.15","0.59"
"Víctor Guzmán","CF Pachuca","995","5","4","31","14","30","6","3.06","2.99"
"Guilherme Castilho","FC Juárez","507","4","0","11","5","13","2","3.02","0.72"
"Tomás Badaloni","Club Necaxa","1125","5","1","39","15","10","3","2.94","0.39"
"Helinho","CD Toluca","543","3","1","28","8","14","20","2.92","0.71"
"Brian Rubio","Mazatlán FC","1087","4","0","20","8","13","8","2.91","0.53"
"Lucas Ocampos","CF Monterrey","673","2","0","23","7","12","13","2.89","0.32"
