player_name,team_title,minutesPlayed,goals,assists,totalShots,shotsOnTarget,keyPasses,successfulDribbles,expectedGoals,expectedAssists
"Cristian Olivera","Bahia","961","1","1","22","14","14","18","1.75","2.62"
"Lucas Paquetá","Flamengo","819","3","0","26","8","12","11","1.71","1.28"
"Gabriel Baralhas","Vitória","1192","2","3","17","3","17","10","1.69","0.72"
"Fernando","Red Bull Bragantino","189","2","1","8","4","1","9","1.68","0.23"
"Vitor Roque","Palmeiras","284","3","0","12","7","2","3","1.67","0.24"
"Cauan Barros","Vasco da Gama","1125","3","0","17","3","9","4","1.66","0.54"
"Cristian Medina","Botafogo","859","1","0","12","2","7","6","1.64","0.47"
"Everton Ribeiro","Bahia","956","0","4","15","4","33","11","1.63","2.58"
"Gonzalo Tapia","São Paulo","288","0","0","8","1","3","1","1.62","0.23"
"Alexandro Bernabei","Internacional","1285","4","1","31","12","27","22","1.62","2.21"
"Jean Carlos","Chapecoense","662","2","2","18","6","20","10","1.58","1.27"
"Jhon Arias","Palmeiras","1016","3","0","22","9","16","15","1.58","1.14"
"Tiago Volpi","Red Bull Bragantino","990","2","0","2","2","4","1","1.58","0.14"
"Thaciano","Santos","551","2","0","13","3","3","0","1.57","0.41"
"Ferreirinha","São Paulo","550","4","0","17","7","8","20","1.57","0.8"
"Johan Rojas","Vasco da Gama","788","0","1","32","9","31","18","1.57","2.1"
"João Pedro Silva","Remo","301","1","0","7","2","4","0","1.55","0.03"
"Jean Lucas","Bahia","1200","2","2","18","5","12","10","1.54","1.88"
"Álvaro Barreal","Santos","942","3","0","22","5","11","12","1.54","0.54"
"Stiven Mendoza","Athletico","1466","5","0","26","11","16","7","1.53","1.25"
"Jordan Barrera","Botafogo","369","1","0","11","5","4","6","1.51","0.35"
"Cuiabano","Vasco da Gama","770","1","4","19","7","17","12","1.5","1.18"
"Moisés","Santos","381","2","1","9","6","3","6","1.5","0.47"
"Italo","Chapecoense","716","0","0","16","1","6","8","1.46","0.49"
"Andreas Pereira","Palmeiras","1332","1","9","19","5","31","7","1.46","2.5"
"Carlos Eduardo","Mirassol","508","1","1","12","1","4","9","1.45","0.27"
"Thiago Mendes","Vasco da Gama","1344","4","1","14","7","29","17","1.44","1.55"
"Erick","Vitória","1170","2","4","18","8","22","18","1.44","1.76"
"Nuno Moreira","Vasco da Gama","791","1","1","16","4","24","6","1.44","1.71"
"Neto Pessoa","Chapecoense","222","2","1","10","4","2","2","1.43","0.09"
"Victor Hugo","Atlético Mineiro","1213","3","1","19","9","16","30","1.41","1.34"
"Tetê","Grêmio","643","2","0","23","7","6","19","1.38","0.81"
"André Henrique","Grêmio","111","0","0","5","2","1","1","1.37","0.06"
"Dudu","Atlético Mineiro","304","2","0","13","7","6","5","1.34","0.52"
"Hércules","Fluminense","945","3","0","20","7","11","4","1.32","0.92"
"Philippe Coutinho","Vasco da Gama","259","1","0","17","7","11","2","1.31","0.63"
"Francis Amuzu","Grêmio","1046","1","3","28","8","12","4","1.27","1.48"
"Leonel Picco","Remo","704","1","1","9","2","2","1","1.27","0.07"
"Cauly","São Paulo","565","1","0","7","3","14","5","1.26","0.76"
"Higor Meritão","Chapecoense","617","1","0","11","5","8","6","1.26","0.17"
"Patrick de Paula","Remo","472","0","2","18","3","8","6","1.25","0.23"
"Tchê Tchê","Vasco da Gama","789","1","0","10","2","5","5","1.25","0.58"
"Marcos Antônio","São Paulo","888","0","2","9","1","12","2","1.24","1.18"
"Breno Bidon","Corinthians","1139","2","0","12","2","13","11","1.23","0.97"
"Kauã Moraes","Cruzeiro","460","2","1","4","3","1","3","1.22","0.47"
"Nicolás Acevedo","Bahia","1302","0","0","18","5","3","9","1.19","0.46"
"Eduardo","Mirassol","561","2","0","9","4","3","1","1.18","0.4"
"André Luiz","Corinthians","835","3","0","15","4","3","6","1.18","0.26"
"Gustavo Marques","Red Bull Bragantino","1359","0","0","12","5","4","1","1.17","0.23"
"Josué","Coritiba","1271","1","7","11","2","33","3","1.17","3.22"
"Álvaro Montoro","Botafogo","924","0","3","14","4","13","27","1.17","1.1"
"Alan Minda","Atlético Mineiro","360","2","0","10","5","8","8","1.17","0.66"
"Gabriel Bontempo","Santos","1075","0","2","10","1","20","8","1.15","1.34"
"Juninho Capixaba","Red Bull Bragantino","1429","3","2","23","6","24","5","1.14","2.42"
"Lucas Moura","São Paulo","322","1","1","5","3","5","3","1.13","0.7"
"Keny Arroyo","Cruzeiro","891","2","2","26","10","13","14","1.13","1.4"
"Gabriel Mercado","Internacional","981","1","0","6","2","2","0","1.13","0.09"
"Kadir Barría","Botafogo","253","0","1","11","3","4","4","1.13","0.15"
"Gerson","Cruzeiro","1356","0","1","15","7","11","13","1.13","1.97"
"Yago Pikachu","Remo","926","2","1","18","7","17","3","1.12","0.85"
"Bruno Henrique","Flamengo","358","0","1","11","2","7","6","1.11","0.73"
"João Cruz","Athletico","399","0","3","14","4","18","2","1.09","1.22"
"Júnior Santos","Botafogo","408","1","0","8","4","1","10","1.07","0.2"
"Luiz Araújo","Flamengo","379","1","1","9","2","11","5","1.04","0.98"
"Rodriguinho","Red Bull Bragantino","322","2","0","7","3","5","4","1.04","0.2"
"Bruno Tabata","Internacional","182","0","0","8","3","3","4","1.02","0.25"
"Renan Lodi","Atlético Mineiro","1516","0","2","24","6","19","10","1.02","2.2"
