player_name,team_title,position,time,games,goals,assists,shots,key_passes,xG,xA,npg,npxG
"Youri Tielemans","Aston Villa","M S","1861","25","0","4","24","32","1.8399642640724778","2.9822675781324506","0","1.8399642640724778"
"Solly March","Brighton","S","32","4","0","0","1","0","0.05649586021900177","0","0","0.05649586021900177"
"Victor Lindelöf","Aston Villa","D M S","938","17","0","1","3","2","0.15612759068608284","0.5980998799204826","0","0.15612759068608284"
"Niclas Füllkrug","West Ham","F S","416","8","0","0","9","7","0.9830001182854176","0.4490955099463463","0","0.9830001182854176"
"Will Hughes","Crystal Palace","M S","1567","31","0","0","17","21","1.2812513932585716","1.9265618100762367","0","1.2812513932585716"
"Daichi Kamada","Crystal Palace","M S","1924","28","0","0","19","20","1.4871895518153906","2.585762256756425","0","1.4871895518153906"
"Timothy Castagne","Fulham","D M S","1849","30","0","0","14","18","1.470174259506166","1.7460119286552072","0","1.470174259506166"
"Nikola Milenkovic","Nottingham Forest","D S","3360","38","0","0","15","3","0.5094143021851778","0.26758426427841187","0","0.5094143021851778"
"Pau Torres","Aston Villa","D S","1679","21","0","0","9","1","1.5826024003326893","0.006894074846059084","0","1.5826024003326893"
"Joachim Andersen","Fulham","D","2882","33","0","1","16","6","1.6593082277104259","0.5809159595519304","0","1.6593082277104259"
"Jadon Sancho","Aston Villa","M S","860","23","0","2","10","21","0.7688718903809786","2.0520169995725155","0","0.7688718903809786"
"Reiss Nelson","Brentford","S","104","10","0","1","5","2","0.9007361251860857","0.05902205780148506","0","0.9007361251860857"
"Martin Dubravka","Burnley","GK","3150","35","0","0","0","0","0","0","0","0"
"Joe Willock","Newcastle United","M S","979","24","0","2","17","14","1.3859424609690905","2.0978056583553553","0","1.3859424609690905"
"Rayan Ait Nouri","Manchester City","D M S","981","17","0","2","9","12","0.4981528613716364","1.7330033089965582","0","0.4981528613716364"
"Dwight McNeil","Everton","F M S","1184","22","0","1","24","15","1.4632735215127468","1.7390878200531006","0","1.4632735215127468"
"Jean-Clair Todibo","West Ham","D S","1827","23","0","1","2","5","0.6560113653540611","0.3799619134515524","0","0.6560113653540611"
"James Maddison","Tottenham","S","25","3","0","0","2","0","0.5459706783294678","0","0","0.5459706783294678"
