player_name,team_title,minutesPlayed,goals,assists,totalShots,shotsOnTarget,keyPasses,successfulDribbles,expectedGoals,expectedAssists
"Paul Onuachu","Trabzonspor","2522","22","2","89","44","22","24","16.9","1.43"
"Victor Osimhen","Galatasaray","1718","15","5","97","40","25","8","16.89","1.72"
"Talisca","Fenerbahçe","1956","19","4","115","48","24","15","16.3","2.02"
"Eldor Shomurodov","Başakşehir FK","2928","22","5","95","48","43","30","15.42","3.35"
"Ali Sowe","Çaykur Rizespor","2289","8","4","54","17","25","18","13.93","0.55"
"Mohamed Bayo","Gaziantep FK","2349","15","3","67","30","27","27","13.38","1.39"
"Mauro Icardi","Galatasaray","1345","14","1","58","25","17","5","10.53","1.45"
"Juan Santos da Silva","Göztepe","2588","11","4","60","30","45","31","9.93","5.4"
"Marius Mouandilmadji","Samsunspor","2054","10","4","56","24","18","15","9.43","1.72"
"German Onugkha","Kayserispor","1889","8","1","55","21","11","8","8.94","0.92"
"Youssef En-Nesyri","Fenerbahçe","1008","7","0","37","16","5","3","8.79","0.88"
"Janderson","Göztepe","2472","6","3","71","25","36","29","8.71","3.07"
"Felipe Augusto","Trabzonspor","2202","13","0","65","30","15","23","8.5","1.38"
"Tammy Abraham","Beşiktaş JK","1258","7","1","32","16","14","3","8.2","1.79"
"Davie Selke","Başakşehir FK","1204","10","0","36","18","9","2","8.15","0.99"
"Barış Alper Yılmaz","Galatasaray","2318","8","11","55","24","59","47","8.13","5.65"
"Jackson Muleka","Konyaspor","2230","6","3","68","25","20","41","7.95","1.43"
"Ernest Muçi","Trabzonspor","1857","11","3","76","29","48","27","7.78","4.75"
"Anthony Musaba","Fenerbahçe","2031","5","4","57","14","28","47","7.53","3.53"
"Václav Černý","Beşiktaş JK","2005","5","8","64","26","64","26","7.45","4.27"
"Umut Nayir","Trabzonspor","2068","9","3","56","19","20","7","7.44","2.26"
"El Bilal Touré","Beşiktaş JK","1648","5","4","48","23","30","23","7.42","1.93"
"Orkun Kökçü","Beşiktaş JK","2486","8","8","89","32","92","18","7.42","9.03"
"Serginho","Fatih Karagümrük","2195","8","1","41","14","19","38","6.99","1.77"
"Umut Bozok","Eyüpspor","2120","6","6","39","20","27","12","6.94","1.93"
"Adrian Benedyczak","Kasımpaşa","1165","10","1","32","18","10","3","6.92","0.68"
"Kerem Aktürkoğlu","Fenerbahçe","1959","8","7","44","22","58","22","6.36","4.87"
"Serdar Dursun","Kocaelispor","1548","6","2","36","10","12","1","6.33","0.73"
"Marco Asensio","Fenerbahçe","1886","11","12","68","26","51","17","6.29","4.44"
"Leroy Sané","Galatasaray","2291","7","5","50","15","48","67","6.18","6.82"
"Carlo Holse","Samsunspor","2608","8","3","57","22","37","21","6.17","2.79"
"Sander van de Streek","Antalyaspor","2352","6","4","40","13","31","9","6.14","2.45"
"Yunus Akgün","Galatasaray","1834","7","9","41","11","48","24","6.06","6.38"
"M'Baye Niang","Gençlerbirliği","1746","4","2","46","13","9","14","5.87","0.29"
"Cengiz Ünder","Beşiktaş JK","1183","5","3","42","18","26","11","5.75","3.44"
"Junior Olaitan","Beşiktaş JK","2103","4","2","67","21","38","44","5.71","4.09"
"Miguel Cardoso","Kayserispor","2854","2","6","73","23","60","19","5.6","8.22"
"Alexandru Maxim","Gaziantep FK","2692","5","7","45","14","99","20","5.59","7.1"
"Dorgeles Nene","Fenerbahçe","1465","9","3","31","17","28","12","5.53","2.15"
"Enis Bardhi","Konyaspor","2062","5","4","54","19","56","18","5.49","4.91"
"Cherif Ndiaye","Samsunspor","1433","7","1","30","12","19","9","5.41","1.09"
"Bruno Petković","Kocaelispor","1337","7","0","25","12","17","6","5.37","0.78"
"Qazim Laci","Çaykur Rizespor","2693","7","9","58","18","65","20","5.25","5.43"
"Franco Tongya","Gençlerbirliği","2281","5","3","37","19","29","12","5.02","1.05"
"Drissa Camara","Gaziantep FK","1741","3","6","65","24","26","54","4.97","3.04"
