player_name,team_title,minutesPlayed,goals,assists,totalShots,shotsOnTarget,keyPasses,successfulDribbles,expectedGoals,expectedAssists
"Luis Javier Suárez","Sporting CP","2698","28","6","136","60","47","36","23.3","5.58"
"Vangelis Pavlidis","Benfica","2667","22","4","95","47","36","14","21.67","2.9"
"Jesús Ramírez","CD Nacional","2892","18","0","108","45","26","25","17.29","1.06"
"Yanis Begraoui","Estoril Praia","2726","20","1","79","35","19","25","13.03","1.8"
"Samu Aghehowa","FC Porto","1414","13","1","56","33","10","19","11.92","0.9"
"Rodrigo Zalazar","Sporting Braga","1944","16","5","68","27","37","50","11.89","4.69"
"Murilo","Gil Vicente","2589","11","4","74","32","40","34","11.29","4.63"
"Ricardo Horta","Sporting Braga","2149","14","4","61","31","51","9","10.7","4.91"
"Pau Víctor","Sporting Braga","2269","10","4","48","23","20","38","9.6","2.61"
"Ivan Barbero","FC Arouca","1912","8","2","57","21","20","2","9.44","1.51"
"Maranhão","Tondela","2470","6","2","66","25","31","28","8.87","3.68"
"Pedro Gonçalves","Sporting CP","1994","13","8","81","36","56","27","8.67","5.69"
"Sorriso","Famalicão","2799","5","4","63","20","42","22","8.1","5.38"
"Marko Milovanović","FC Alverca","1535","9","2","38","21","7","8","7.64","0.41"
"Cassiano","Casa Pia","1883","6","0","29","12","10","4","7.56","0.83"
"Gustavo Varela","Gil Vicente","1521","6","3","50","23","10","11","7.47","0.51"
"Samu","Vitória SC","2038","7","3","46","19","35","11","7.18","2.81"
"Francisco Trincão","Sporting CP","2851","7","11","74","24","86","46","7.17","7.51"
"Clayton","Rio Ave","1600","10","4","43","23","11","6","7.03","1.94"
"Gabriel Silva","Santa Clara","2245","6","0","69","20","29","24","7.01","1.75"
"Richard Ríos","Benfica","2279","5","4","60","16","22","26","7","2.07"
"Guilherme Schettine","Moreirense","994","9","1","28","17","7","8","6.91","0.27"
"André Luiz","Rio Ave","1500","7","5","44","20","21","31","6.66","1.66"
"Andreas Schjelderup","Benfica","1733","7","5","47","14","41","36","6.35","7.21"
"Victor Froholdt","FC Porto","2875","6","6","40","11","30","32","6.09","2.64"
"Rodrigo Pinho","CF Estrela Amadora","1185","4","1","41","15","8","8","5.89","0.75"
"Maximiliano Araújo","Sporting CP","2215","5","4","39","16","31","23","5.84","3.13"
"Alfonso Trezza","FC Arouca","2329","9","2","47","19","22","16","5.69","1.53"
"Deniz Gül","FC Porto","1180","5","1","26","13","10","8","5.68","1.16"
"Jérémy Livolant","Casa Pia","2776","3","8","46","16","40","29","5.66","4.62"
"Pablo Felipe","Gil Vicente","955","10","1","23","13","14","11","5.64","0.72"
"Alejandro Marqués","Estoril Praia","1160","4","0","26","10","5","14","5.55","0.39"
"Simon Elisor","Famalicão","2053","1","2","44","19","23","13","5.41","1.76"
"Abraham Marcus","CF Estrela Amadora","2573","5","5","44","13","44","51","5.35","5.14"
"Kikas","CF Estrela Amadora","1212","6","1","30","16","9","1","5.33","0.47"
"Figueiredo","FC Alverca","1886","6","2","42","19","28","34","5.28","3.5"
"Ianis Stoica","CF Estrela Amadora","1680","3","2","36","9","19","7","5.24","1.9"
"Gustavo Silva","Vitória SC","1466","5","2","53","16","22","9","5.23","0.99"
"Gustavo Sá","Famalicão","2711","4","2","44","14","44","15","5.16","4.42"
"William Gomes","FC Porto","1168","8","1","42","18","14","22","5.15","2.56"
"Sandro Lima","FC Alverca","1427","5","2","25","13","12","5","5.11","1.05"
"Borja Sainz","FC Porto","1603","5","3","51","19","16","25","5.1","1.68"
"Fran Navarro","Sporting Braga","1295","6","1","19","13","5","6","5.05","0.29"
"Jalen Blesa","Rio Ave","1077","7","0","23","14","11","10","5.03","1.15"
"Serginho","Santa Clara","2580","4","3","39","10","43","19","4.8","3.95"
"Paulinho Bóia","CD Nacional","2825","4","2","61","26","44","46","4.71","3.73"
"Hyun-ju Lee","FC Arouca","2023","7","3","32","11","12","23","4.62","1.23"
"Franjo Ivanović","Benfica","885","6","1","31","18","9","21","4.6","0.69"
"Gabri Veiga","FC Porto","1623","3","8","46","13","37","15","4.56","3.7"
"Sidny Lopes Cabral","Benfica","1680","6","5","49","16","39","22","4.53","5.76"
"Gaizka Larrazabal","Casa Pia","2854","5","4","48","21","25","26","4.51","2.61"
"Nenê","AVS - Futebol SAD","397","4","1","22","10","8","3","4.44","0.13"
"Vinícius Lopes","Santa Clara","1540","6","1","50","15","22","34","4.44","1.14"
"João Carvalho","Estoril Praia","2798","6","11","50","21","54","33","4.39","5.65"
"André Lacximicant","Estoril Praia","1213","3","2","39","17","12","6","4.26","0.81"
"Rafa Silva","Benfica","936","5","0","25","13","10","15","4.24","1.63"
"Jovane Cabral","CF Estrela Amadora","1678","7","1","55","23","20","31","4.24","1.47"
"Santi García","Gil Vicente","2648","6","3","62","19","46","41","4.22","2.73"
"Lincoln","FC Alverca","2373","2","5","32","12","40","14","4.17","4.34"
"Alioune Ndoye","Vitória SC","953","2","1","39","10","7","8","4.11","0.86"
"Luís Esteves","Gil Vicente","2770","4","8","76","23","58","13","4.05","4.38"
"Gil Dias","Famalicão","2506","4","7","52","15","35","32","4.01","7.38"
"Tomané","AVS - Futebol SAD","2024","4","1","33","10","19","9","3.9","1.16"
"Oumar Camara","Vitória SC","1517","5","2","26","10","14","11","3.87","1.06"
"Pedro Lima","AVS - Futebol SAD","1896","4","2","48","12","30","15","3.81","1.71"
"Yassir Zabiri","Famalicão","661","4","0","25","15","9","4","3.8","0.53"
"Jordan Siebatcheu","Tondela","1248","1","0","28","9","8","3","3.75","0.3"
"Umar Abubakar","Famalicão","453","3","0","18","9","4","1","3.71","0.26"
"Nélson Oliveira","Vitória SC","1314","3","0","31","11","8","8","3.59","0.35"
"Alan","Moreirense","2703","5","5","41","18","42","18","3.52","4.49"
"Elias Manoel","Santa Clara","299","3","0","12","5","2","2","3.45","0.1"
"Justin De Haas","Famalicão","2790","5","0","21","9","7","6","3.45","0.85"
"Óscar Perea","AVS - Futebol SAD","1258","2","0","40","11","13","27","3.44","1.34"
"Pepê","FC Porto","2241","3","4","27","7","49","23","3.41","3.63"
"Geny Catamo","Sporting CP","1963","6","2","49","22","29","44","3.37","3.98"
"Amine El Ouazzani","Sporting Braga","717","2","0","16","6","8","3","3.36","0.36"
"Oskar Pietuszewski","FC Porto","819","3","2","23","11","10","27","3.33","1.18"
"Gabriel Martínez","Sporting Braga","1327","1","2","30","9","12","27","3.33","2.17"
"Ivan Cavaleiro","Tondela","851","2","0","19","4","17","9","3.32","1.38"
"Diego Duarte","AVS - Futebol SAD","1303","3","1","31","11","11","5","3.31","0.83"
"Gianluca Prestianni","Benfica","1551","3","5","45","15","45","53","3.31","4.18"
"Yan Maranhão","Moreirense","740","1","1","16","6","4","3","3.3","0.42"
"Hugo Félix","Tondela","1340","0","1","29","9","26","7","3.24","1.35"
"Dario Špikić","Rio Ave","1798","2","3","31","10","24","21","3.17","2"
"Tunde Akinsola","AVS - Futebol SAD","2454","1","4","51","12","31","43","3.04","3.43"
"Ricard Sánchez","Estoril Praia","1982","2","4","20","8","20","15","3.02","2.4"
"Ze Vitor","CD Nacional","2673","4","1","35","9","10","6","2.99","0.55"
"Chiquinho","FC Alverca","1492","2","4","25","6","22","34","2.99","3.7"
"Alan Varela","FC Porto","2320","2","0","25","10","19","12","2.88","3.2"
"Mathias De Amorim","Famalicão","2468","4","2","36","9","25","41","2.83","3.45"
"Morten Hjulmand","Sporting CP","2325","3","4","29","7","29","8","2.82","2.54"
"Diogo Travassos","Moreirense","2437","5","3","40","12","24","40","2.82","3.19"
"Rodrigo Mora","FC Porto","1187","1","1","37","8","36","22","2.8","3.85"
"Diogo Bezerra","Rio Ave","1265","1","2","27","9","31","31","2.76","3.02"
"Georgiy Sudakov","Benfica","1421","4","1","35","12","38","27","2.71","3.76"
"Dodi Lukebakio","Benfica","745","0","3","34","9","23","27","2.7","4.15"
"Tiago Manso","Tondela","1558","1","1","22","7","10","13","2.59","1.31"
"Leandro Barreiro","Benfica","1766","3","5","22","10","21","8","2.57","1.43"
"Luís Semedo","Moreirense","989","3","0","21","6","8","8","2.57","0.26"
"Fredrik Aursnes","Benfica","2294","3","3","29","8","56","13","2.55","4.28"
"João Moutinho","Sporting Braga","2194","1","1","23","9","16","7","2.54","3.05"
"Naïs Djouahra","FC Arouca","2743","6","3","49","19","31","33","2.5","3.72"
"Dylan Nandín","FC Arouca","921","1","2","18","7","12","6","2.48","0.94"
"Bebeto","Tondela","1898","3","0","6","3","15","8","2.46","1.09"
"Gustaf Lagerbielke","Sporting Braga","2391","2","0","18","4","8","7","2.45","1.35"
"Nabil Touaizi","FC Alverca","2825","1","5","22","9","29","37","2.36","3.62"
"Rafael Nel","Sporting CP","180","2","1","6","4","2","0","2.33","0.55"
"Marios Vrousai","Rio Ave","2531","1","2","44","18","27","42","2.33","2.37"
"Daniel Bragança","Sporting CP","538","6","0","14","9","8","4","2.27","0.81"
"Agustín Moreira","Gil Vicente","1031","2","1","27","8","13","11","2.22","2.38"
"Brenner","Santa Clara","1216","0","1","25","7","23","17","2.21","2.21"
"Wendel","Santa Clara","917","1","2","12","6","8","1","2.16","0.51"
"Pablo Gozálbez","FC Arouca","1089","1","2","21","7","19","9","2.16","2.1"
"Noah Saviolo","Vitória SC","1959","2","4","33","12","26","42","2.1","3.31"
"Guilherme Neiva","AVS - Futebol SAD","930","2","3","20","8","9","11","2.08","1.2"
"Brayan Medina","Tondela","2199","0","1","13","4","6","7","2.08","1.42"
"Makan Aïko","Tondela","1058","1","2","20","8","14","27","2.07","1.56"
"Kaiky Naves","FC Alverca","2835","2","0","17","4","7","4","2.05","0.75"
"Ricardo Mangas","Sporting CP","875","2","1","14","5","10","4","2.04","1.04"
"Tiago Esgaio","FC Arouca","2462","3","5","16","4","27","4","2.03","3.42"
"Tamblé Monteiro","Rio Ave","676","0","1","18","7","5","7","2.01","0.35"
"Andreas Ndoj","Rio Ave","2350","1","2","22","4","13","19","1.97","0.8"
"António Silva","Benfica","1866","1","1","18","5","10","5","1.97","1.21"
"Antoine Joujou","Famalicão","594","3","1","18","9","8","8","1.96","1.04"
"Fotis Ioannidis","Sporting CP","464","3","0","10","6","10","9","1.95","0.41"
"Rony Lopes","Tondela","1048","4","2","36","10","15","10","1.9","1.33"
"Dailon Rocha Livramento","Casa Pia","962","0","1","22","7","10","10","1.89","0.94"
"Witiness Quembo","CD Nacional","948","1","1","18","5","16","8","1.85","2.1"
"Léo Santos","CD Nacional","2719","3","2","24","6","12","13","1.82","0.73"
"José Gomes","CD Nacional","2313","1","5","19","6","24","21","1.81","2.07"
"Luís Guilherme","Sporting CP","634","1","0","13","3","15","13","1.81","1.85"
"Alberto Costa","FC Porto","2231","1","8","24","6","28","27","1.78","4.12"
"Rafael Barbosa","AVS - Futebol SAD","649","1","2","14","3","14","5","1.77","1.83"
"Tiago Leite","FC Alverca","133","0","0","10","4","1","0","1.77","0.03"
"Alexander Bah","Benfica","484","2","0","8","3","8","3","1.76","0.87"
"Joe Hodge","Tondela","1432","1","1","16","5","19","6","1.74","1.46"
"Gonçalo Paciência","Santa Clara","507","3","0","17","6","2","7","1.71","0.11"
"Miguel Nogueira","Vitória SC","795","1","0","12","5","6","7","1.67","0.38"
"Geovany Quenda","Sporting CP","873","2","5","17","7","19","16","1.66","2.49"
"Rafik Guitane","Estoril Praia","1836","3","5","27","11","40","79","1.65","3.84"
"Pablo Rosario","FC Porto","1365","2","1","12","3","7","4","1.63","1.15"
"Oluwakorede Osundina","Casa Pia","712","2","0","7","2","5","8","1.63","0.9"
"Sikou Niakaté","Sporting Braga","938","0","0","11","1","5","6","1.62","0.46"
"João Mendes","Vitória SC","2441","1","1","30","5","20","11","1.61","1.36"
"Matheus Dias","CD Nacional","2447","0","1","19","4","14","6","1.6","0.81"
"Cédric Nuozzi","FC Alverca","912","1","0","15","6","9","14","1.58","0.58"
"Jonathan Buatu","Gil Vicente","2745","1","1","15","2","4","1","1.55","0.93"
"Tomás Araújo","Benfica","1684","1","2","17","4","12","3","1.5","1.08"
"Marcelo","Moreirense","959","1","0","7","2","0","0","1.5","0.04"
"Rodrigo Alonso","Moreirense","1496","3","3","11","5","11","8","1.47","2.16"
"Miguel Puche","FC Arouca","763","1","1","14","7","14","9","1.46","0.49"
"Pedro Carvalho","Estoril Praia","1248","0","1","11","0","8","7","1.43","0.7"
"Peixinho","Estoril Praia","210","1","0","9","2","4","8","1.43","0.19"
"Héctor Hernández","Gil Vicente","351","2","1","8","5","1","3","1.41","0.05"
"Ibrahima Ba","Famalicão","1672","1","1","12","4","6","4","1.41","0.25"
"Felix Bacher","Estoril Praia","3060","2","0","12","2","8","10","1.41","1.15"
"Jakub Kiwior","FC Porto","2217","0","1","16","5","12","2","1.4","0.86"
"Joelson Fernandes","Gil Vicente","1022","1","3","17","3","21","14","1.39","1.93"
"Óscar Rivas","Vitória SC","1620","1","0","13","4","4","3","1.38","0.33"
"Claudio Mendes","Casa Pia","287","1","0","9","4","0","0","1.37","0.01"
"Jose Fontán","FC Arouca","2545","2","3","16","4","14","6","1.36","1.22"
"Diogo Sousa","Vitória SC","1163","1","1","24","9","8","24","1.34","1.22"
"Pedro Santos","Famalicão","716","2","3","10","2","10","8","1.33","1.63"
"Vasco Sousa","Moreirense","462","1","0","8","3","6","3","1.33","0.33"
"Terem Moffi","FC Porto","250","1","1","6","3","5","1","1.32","0.17"
"Olinho","Rio Ave","1731","1","1","24","7","15","21","1.32","0.92"
"Hidemasa Morita","Sporting CP","1834","1","4","14","3","20","11","1.32","3.07"
"Oumar Ngom","CF Estrela Amadora","835","0","1","14","1","5","6","1.3","0.36"
"Mario Dorgeles","Sporting Braga","1008","2","1","11","2","18","9","1.3","2.01"
"Paulo Moreira","CF Estrela Amadora","2379","3","2","14","6","13","20","1.28","1"
"David Sousa","Casa Pia","2265","2","0","19","5","7","5","1.27","0.47"
"Luuk de Jong","FC Porto","262","1","0","6","3","5","1","1.26","0.69"
"Davy Gui","FC Alverca","619","1","1","16","3","5","7","1.26","0.66"
"Nicolás Otamendi","Benfica","2605","2","0","24","6","9","9","1.25","0.74"
"Zaidu Sanusi","FC Porto","995","1","1","6","1","18","8","1.23","0.99"
"Vítor Carvalho","Sporting Braga","1063","2","1","11","3","4","0","1.23","0.39"
"Afonso Assis","Moreirense","896","1","1","5","2","6","3","1.23","0.34"
"Gonçalo Inácio","Sporting CP","2506","2","3","11","3","17","8","1.22","2.17"
