player_name,team_title,minutes_played,shots,shots_on_target,goals,key_passes,xgoals,xassists
Zanka,LA Galaxy,1507,4,1,0,5,0.4472,0.924
Quinn Sullivan,Philadelphia Union,2155,57,18,2,43,4.4949,5.8324
Conner Antley,D.C. United,1498,6,2,1,6,0.9768,0.4284
Omari Glasgow,Chicago Fire FC,624,6,1,0,4,0.3888,1.0866
Ethan Bartlow,Houston Dynamo FC,1525,10,2,0,4,1.2225,0.7559
Oleksandr Svatok,Austin FC,2821,8,2,1,5,0.9092,0.6406
Myrto Uzuni,Austin FC,2504,58,25,6,19,10.6819,2.5561
Pablo Sisniega,San Diego FC,788,0,0,0,0,0.0,0.0
Matt Turner,New England Revolution,1012,0,0,0,0,0.0,0.0
Jayden Reid,St. Louis City SC,531,0,0,0,1,0.0,0.0369
Obed Vargas,Seattle Sounders FC,2846,35,12,5,17,3.0341,1.6104
Olivier Mbaizo,Philadelphia Union,563,1,0,0,6,0.0167,0.771
Fallou Fall,St. Louis City SC,684,6,1,0,4,0.5755,0.7747
Nicolás Romero,Minnesota United FC,2516,21,2,0,8,2.0306,1.7853
Alex Roldan,Seattle Sounders FC,2646,30,9,0,26,1.3585,3.0998
Emeka Eneli,Real Salt Lake,2113,9,2,0,21,0.3727,1.6119
Simon Becher,St. Louis City SC,1472,43,19,3,13,8.7212,1.7438
Brandon Servania,D.C. United,2238,15,3,0,10,0.6873,0.6779
Steven Alzate,Atlanta United FC,726,6,3,0,7,0.3239,0.4802
Yuya Kubo,FC Cincinnati,874,22,10,1,6,1.9139,0.3604
Jacob Shaffelburg,Nashville SC,1433,27,10,4,20,3.9271,3.5643
Josh Atencio,Colorado Rapids,1957,13,0,0,10,1.0941,1.0367
Kai Wagner,Philadelphia Union,3429,19,5,2,103,0.71,11.7977
Stefan Frei,Seattle Sounders FC,2922,0,0,0,0,0.0,0.0
Jeffrey Gal,Chicago Fire FC,764,0,0,0,0,0.0,0.0
Adilson Malanda,Charlotte FC,3557,17,1,1,4,1.9628,0.4876
Miki Yamane,LA Galaxy,2478,11,3,1,24,1.0884,3.6612
Dániel Gazdag,Columbus Crew,2858,49,21,6,31,10.7585,3.8185
Anders Dreyer,San Diego FC,3926,116,56,23,93,17.3347,12.5194
Timothy Tillman,Los Angeles FC,2970,27,5,0,27,2.1118,1.9178
Jannes Horn,St. Louis City SC,779,2,0,0,7,0.037,0.788
Edvard Tagseth,Nashville SC,2993,11,4,0,29,0.5592,2.8128
Cristian Arango,San Jose Earthquakes,2839,124,42,13,27,15.9574,3.6271
Beau Leroux,San Jose Earthquakes,2322,39,18,5,19,2.8233,1.832
Osman Bukari,Austin FC,2621,42,21,3,37,4.5398,3.8774
Peter Stroud,New York Red Bulls,1897,16,2,0,16,1.5999,2.7339
Dylan Nealis,New York Red Bulls,1238,10,3,1,8,0.7105,0.5913
Christopher McVey,San Diego FC,3760,22,4,2,8,1.9606,1.3523
Yannick Bright,Inter Miami CF,1609,6,2,1,7,0.2443,0.6306
Olwethu Makhanya,Philadelphia Union,2745,20,4,1,2,2.4158,0.069
Luke Brennan,Atlanta United FC,615,5,1,0,4,0.542,0.8405
Omar Valencia,New York Red Bulls,1542,5,0,0,18,0.3971,1.2663
Corey Baird,San Diego FC,1136,15,4,0,14,1.8562,1.5803
Mauricio Pineda,Chicago Fire FC,1838,11,5,0,9,0.9343,1.7631
Dániel Sallói,Sporting Kansas City,2454,62,27,7,23,6.1155,3.0179
Joaquín Fernández,Sporting Kansas City,1482,7,0,0,3,0.5377,0.2089
Aaron Herrera,D.C. United,2300,16,4,0,36,0.8201,3.6836
Diego Chará,Portland Timbers FC,1762,2,0,0,11,0.0399,1.0733
Mateusz Klich,Atlanta United FC,891,7,2,0,10,0.2274,1.1133
João Klauss,St. Louis City SC,2695,100,33,10,32,12.0102,4.1024
Luis Díaz,New England Revolution,535,13,6,0,6,1.1393,0.8753
